brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address,configuration
Ram,1500,2023,52075,Silver,,New,Pickup Truck,Other,Automatic,Gasoline,0,,3C6JR7ET6PG664435,,,
Jaguar,F-Type,2020,61990,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,26787,,SAJDD1EV6LCK68135,https://media.kijiji.ca/api/v1/autos-prod-ads/images/d0/d00fcfbd-1b6a-4f6c-ba2b-fe7f4984db54?rule=kijijica-640-jpg,,
Chevrolet,Corvette,2021,109987,Blue,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,6528,,1G1YB2D48M5111077,https://media.kijiji.ca/api/v1/autos-prod-ads/images/4f/4fece505-b6f8-46e7-9bf7-27b1a8495f11?rule=kijijica-640-jpg,,
Ram,1500,2021,107829,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,14819,,1C6SRFU97MN713326,https://media.kijiji.ca/api/v1/autos-prod-ads/images/3b/3bc78971-5e8d-4f4d-b7f8-40e4d9f61a41?rule=kijijica-640-jpg,,
Chevrolet,Equinox,2021,30898,White,,Used,"SUV, Crossover",Other,Gasoline,2GNAXUEV3M6161412,81202,,PA1412,https://media.kijiji.ca/api/v1/autos-prod-ads/images/cc/cc65a393-8188-4d58-8944-de126f22d2fb?rule=kijijica-640-jpg,,
Mercedes-Benz,CLA,2015,24333,Grey,,Used,Sedan,Other,Gasoline,WDDSJ4GB2FN192432,55463,,N125049A,https://media.kijiji.ca/api/v1/autos-prod-ads/images/30/30e61fa3-66f6-45fa-baa5-c85697a88e22?rule=kijijica-640-jpg,,
Chevrolet,Camaro,2019,56900,Blue,,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Other,24000,,1G1FH1R77K0143368,https://media.kijiji.ca/api/v1/autos-prod-ads/images/49/49bb6698-545a-4adb-b011-64e4f84e99cc?rule=kijijica-640-jpg,,
Toyota,RAV4,2019,41900,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,65989,,2T3RWRFV4KW001714,https://media.kijiji.ca/api/v1/autos-prod-ads/images/d3/d3a323e8-9732-45d7-b196-fcd6da6fef5d?rule=kijijica-640-jpg,,
Ford,Fiesta,2019,16749,Blue,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,81698,,3FADP4EJ8KM108202,https://media.kijiji.ca/api/v1/autos-prod-ads/images/26/263caf41-0ebf-4fe4-9430-520f301e9d65?rule=kijijica-640-jpg,,
Ford,GT,2015,32996,Yellow,,Used,Coupe (2 door),Other,Automatic,Gasoline,72321,,1FA6P8CF3F5307233,https://media.kijiji.ca/api/v1/autos-prod-ads/images/60/603e22a2-4cdb-412f-a525-fb5b28974ebe?rule=kijijica-640-jpg,,
